Country,Year,PerCapitaCO2
Austria,2023,620.1733333
Belgium,2023,759.9978333
Bulgaria,2023,571.8129167
Croatia,2023,453.398625
Cyprus,2023,602.2638083
Czechia,2023,708.3681667
Denmark,2023,633.5105
Estonia,2023,815.3520833
European Union (27),2023,574.1916083
Finland,2023,1178.417833
France,2023,419.281
Germany,2023,660.989525
Greece,2023,510.5986667
Hungary,2023,424.1813833
Ireland,2023,924.6304167
Italy,2023,507.0062917
Latvia,2023,633.3005417
Lithuania,2023,662.8548667
Luxembourg,2023,988.49325
Malta,2023,312.0592
Netherlands,2023,705.3734167
Poland,2023,728.6109167
Portugal,2023,432.5513083
Romania,2023,422.0735667
Slovakia,2023,411.6471667
Slovenia,2023,648.7115583
Spain,2023,491.5613333
Sweden,2023,554.6867083
World,2023,554.2368917
